model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_55_Mc_dist,40.0,7.0,90.0,57.0,65.0,91.0,40.0,90.0,45.0,65.0,80.0,48.0,76.0,32.0,65.0,7.0,57.0,45.0,91.0,52.0
IGRP_WF_56_Mc_dist,76.0,81.0,16.0,21.0,71.0,9.0,76.0,16.0,76.0,71.0,31.0,43.0,49.0,86.0,71.0,81.0,21.0,76.0,9.0,21.0
IGRP_WF_57_Mc_dist,48.0,34.0,63.0,49.0,51.0,68.0,48.0,63.0,47.0,51.0,17.0,79.0,61.0,62.0,51.0,34.0,49.0,46.0,68.0,51.0
IGRP_WF_58_Mc_dist,59.0,47.0,50.0,38.0,62.0,53.0,59.0,50.0,63.0,62.0,34.0,65.0,58.0,60.0,62.0,47.0,38.0,63.0,53.0,34.0
IGRP_WF_59_Mc_dist,37.0,15.0,82.0,60.0,56.0,88.0,37.0,82.0,40.0,56.0,83.0,47.0,72.0,13.0,56.0,15.0,60.0,40.0,88.0,57.0
IGRP_WF_60_Mc_dist,43.0,54.0,43.0,54.0,28.0,35.0,43.0,43.0,32.0,28.0,1.0,79.0,25.0,87.0,28.0,54.0,54.0,33.0,35.0,64.0
IGRP_WF_61_Mc_dist,27.0,33.0,64.0,70.0,29.0,64.0,27.0,64.0,29.0,29.0,29.0,59.0,34.0,68.0,29.0,33.0,70.0,29.0,64.0,68.0
IGRP_WF_62_Mc_dist,79.0,89.0,8.0,18.0,79.0,5.0,79.0,8.0,79.0,79.0,33.0,48.0,70.0,94.0,79.0,89.0,18.0,79.0,5.0,18.0
IGRP_WF_63_Mc_dist,41.0,18.0,79.0,56.0,59.0,82.0,41.0,79.0,43.0,59.0,81.0,42.0,71.0,38.0,59.0,18.0,56.0,43.0,82.0,54.0
IGRP_WF_64_Mc_dist,78.0,84.0,13.0,19.0,78.0,11.0,78.0,13.0,78.0,78.0,12.0,39.0,69.0,88.0,78.0,84.0,19.0,78.0,11.0,19.0
IGRP_WF_65_Mc_dist,47.0,27.0,70.0,50.0,55.0,75.0,47.0,70.0,49.0,55.0,77.0,1.0,65.0,20.0,55.0,27.0,50.0,49.0,75.0,48.0
IGRP_WF_66_Mc_dist,65.0,51.0,45.0,32.0,67.0,51.0,65.0,45.0,67.0,67.0,96.0,1.0,63.0,22.0,67.0,51.0,32.0,67.0,51.0,30.0
IGRP_WF_67_Mc_dist,7.0,4.0,93.0,90.0,21.0,87.0,7.0,93.0,16.0,20.0,64.0,1.0,30.0,7.0,20.0,4.0,90.0,14.0,87.0,83.0
IGRP_WF_68_Mc_dist,42.0,29.0,67.0,55.0,42.0,70.0,42.0,67.0,39.0,42.0,88.0,1.0,55.0,16.0,42.0,29.0,55.0,39.0,70.0,58.0
IGRP_WF_69_Mc_dist,30.0,48.0,49.0,67.0,25.0,41.0,30.0,49.0,28.0,25.0,26.0,1.0,22.0,58.0,25.0,48.0,67.0,28.0,41.0,69.0
